Division,Home Team,Away Team,Fixture day,Fixture date,Warm up,Match start,Venue
MSL,Malory Eagles UEL Man,Newcastle Staffs,,31/10/2026,11:00,11:00,Sir David Wallace Sports Hall
MSL,University of Nottingham,Malory Eagles UEL Man,,01/11/2026,10:00,10:00,Sir David Wallace Sports Hall
MSL,Malory Eagles UEL Man,Team Essex Blaze,,07/11/2026,13:45,13:45,UEL (Sports Dock)
MSL,Malory Eagles UEL Man,Richmond Docklands,,21/11/2026,00:00,00:00,"Ernest Bevin Academy, Beechcroft Rd, London, SW17 7DF"
MSL,Malory Eagles UEL Man,Newcastle Knights,,28/11/2026,00:00,00:00,"Ernest Bevin Academy, Beechcroft Rd, London, SW17 7DF"
MSL,Malory Eagles UEL Man,Essex Rebels,,16/01/2027,00:00,00:00,"Ernest Bevin Academy, Beechcroft Rd, London, SW17 7DF"
MSL,Team Essex Blaze,Malory Eagles UEL Man,,17/01/2027,00:00,00:00,St John Payne School
MSL,Richmond Docklands,Malory Eagles UEL Man,,30/01/2027,00:00,00:00,Kingston College Arena
MSL,Malory Eagles UEL Man,University of Nottingham,,06/02/2027,00:00,00:00,"Ernest Bevin Academy, Beechcroft Rd, London, SW17 7DF"
MSL,Newcastle Staffs,Malory Eagles UEL Man,,20/02/2027,00:00,00:00,Sir Stanley Matthews Sports Centre
MSL,Newcastle Knights,Malory Eagles UEL Man,,21/02/2027,00:00,00:00,Newcastle University Sports Centre
MSL,Essex Rebels,Malory Eagles UEL Man,,28/02/2027,00:00,00:00,Essex Sport Arena
MSL,London Giants,Malory Eagles UEL Man,,14/03/2027,00:00,00:00,Brixton Recreation Centre
MSL,Malory Eagles UEL Man,London Giants,,20/03/2027,00:00,00:00,UEL (Sports Dock)
WSL,Malory Eagles UEL Women,Newcastle Knights,,31/10/2026,13:00,13:00,Sir David Wallace Sports Hall
WSL,Durham Palatinates,Malory Eagles UEL Women,,01/11/2026,14:00,14:00,Sir David Wallace Sports Hall
WSL,Malory Eagles UEL Women,Durham Palatinates,,07/11/2026,00:00,00:00,"Ernest Bevin Academy, Beechcroft Rd, London, SW17 7DF"
WSL,Malory Eagles UEL Women,Lionhearts Vinarius,,21/11/2026,00:00,00:00,"Ernest Bevin Academy, Beechcroft Rd, London, SW17 7DF"
WSL,Malory Eagles UEL Women,Team SideOut Polonia (London),,28/11/2026,00:00,00:00,"Ernest Bevin Academy, Beechcroft Rd, London, SW17 7DF"
WSL,Team SideOut Polonia (London),Malory Eagles UEL Women,,06/12/2026,00:00,00:00,Score Leisure Centre
WSL,University of Nottingham,Malory Eagles UEL Women,,12/12/2026,00:00,00:00,Sutton Bonington Sports Centre
WSL,Malory Eagles UEL Women,Essex Rebels,,16/01/2027,00:00,00:00,"Ernest Bevin Academy, Beechcroft Rd, London, SW17 7DF"
WSL,London Giants,Malory Eagles UEL Women,,25/01/2027,00:00,00:00,Brixton Recreation Centre
WSL,Malory Eagles UEL Women,University of Nottingham,,06/02/2027,00:00,00:00,"Ernest Bevin Academy, Beechcroft Rd, London, SW17 7DF"
WSL,Newcastle Knights,Malory Eagles UEL Women,,21/02/2027,00:00,00:00,Newcastle University Sports Centre
WSL,Essex Rebels,Malory Eagles UEL Women,,28/02/2027,00:00,00:00,Essex Sport Arena
WSL,Lionhearts Vinarius,Malory Eagles UEL Women,,13/03/2027,00:00,00:00,Mulberry Shoreditch Academy
WSL,Malory Eagles UEL Women,London Giants,,20/03/2027,00:00,00:00,UEL (Sports Dock)
GSS,,Malory Eagles U18A,,04/10/2026,10:00,10:00,Loughborough University
GGPU18,,Malory Eagles U18B,,04/10/2026,10:00,10:00,The Ashcombe School
GSS,,Malory Eagles U18A,,07/11/2026,10:00,10:00,Loughborough University
GGPU18,,Malory Eagles U18B,,08/11/2026,10:00,10:00,
GGPU16,,Malory Eagles U16,,15/11/2026,10:00,10:00,
GSS,,Malory Eagles U18A,,05/12/2026,10:00,10:00,Loughborough University
GGPU18,,Malory Eagles U18B,,06/12/2026,10:00,10:00,
GGPU16,,Malory Eagles U16,,13/12/2026,10:00,10:00,
GGPU15,,Malory Eagles U15,,10/01/2027,10:00,10:00,
GGPU16,,Malory Eagles U16,,17/01/2027,10:00,10:00,
GSS,,Malory Eagles U18A,,30/01/2027,10:00,10:00,Loughborough University
GGPU18,,Malory Eagles U18B,,31/01/2027,10:00,10:00,
GGPU15,,Malory Eagles U15,,14/02/2027,10:00,10:00,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
M2B,Malory Bald Eagles,Londinium Ares,Saturday,03/10/2026,12:20,12:40,"Ernest Bevin Academy, Beechcroft Rd, London, SW17 7DF"
W2A,Malory Grey Eagles,Inter Dolphins,Saturday,03/10/2026,12:20,12:40,"Ernest Bevin Academy, Beechcroft Rd, London, SW17 7DF"
W3,Malory Eaglets,West London Hitters W2,Saturday,10/10/2026,15:00,15:20,"Tooting Leisure Centre, Greaves Pl, London SW17 0NE"
